id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Velvet Theory,r&b,romantic,0.55,88,0.76,0.71,0.42
12,City Bounce,Asphalt Kings,hip-hop,energetic,0.83,96,0.72,0.91,0.08
13,Rainy Sonata,Clara Voss,classical,melancholic,0.22,52,0.28,0.19,0.97
14,Dirt Road Memory,The Hollow Pines,country,nostalgic,0.52,84,0.63,0.55,0.74
15,Iron Eclipse,Voidbreaker,metal,angry,0.97,168,0.21,0.52,0.04
16,Neon Sunrise,Pulse Architect,edm,euphoric,0.94,128,0.89,0.93,0.03
17,Mississippi Slow,Earl Bayou,blues,melancholic,0.31,68,0.34,0.43,0.81
18,Willow Wind,June Farrow,folk,peaceful,0.27,74,0.68,0.38,0.94
19,Island Sunrise,Coral Drift,reggae,happy,0.61,82,0.82,0.77,0.55
20,Neon Confetti,HANA,k-pop,uplifting,0.88,136,0.91,0.86,0.12
